source_url,name,pk_unique_id,mongo_db,specialties,procedure,equipment,capability,organization_type,content_table_id,phone_numbers,email,websites,officialWebsite,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,countries,missionStatement,missionStatementLink,organizationDescription,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,unique_id,latitude,longitude,emergency_services,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
https://data.cms.gov/provider-data/dataset/xubh-q36u,"24 ON PHYSICIANS OF CALIFORNIA, P.C.",1730570565,,,,,Hospitalist,,,559-791-3880,,,,,,,,,,,465 W PUTNAM AVE,,,PORTERVILLE,CA,932573320,United States,US,US,,,,Hospitalist,,,,,50,,1730570565,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,90265 MEDICAL GROUP INC.,1487140935,,,,,"Family Medicine, Addiction Medicine",,,310-341-0188,,,,,,,,,,,23661 PACIFIC COAST HIGHWAY,,,MALIBU,CA,90265,United States,US,US,,,,"Family Medicine, Addiction Medicine",,,,,50,,1487140935,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ABDULLAH KHALID MD,1750135349,,,,,Internal Medicine,,,209-464-6422,,,,,,,,,,,1801 E MARCH LN STE C300,,,STOCKTON,CA,952106657,United States,US,US,,,,Internal Medicine,,,,,50,,1750135349,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ABOSHADY IN PATIENT SERVICES INC,1528585239,,,,,Hospitalist,,,928-854-9603,,,,,,,,,,,3751 KATELLA AVE,,,LOS ALAMITOS,CA,907203113,United States,US,US,,,,Hospitalist,,,,,50,,1528585239,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ACADEMIC HOSPITALISTS MANAGEMENT GROUP INC,1750740742,,,,,Hospitalist,,,626-397-3030,,,,,,,,,,,50 BELLEFONTAINE ST,,,PASADENA,CA,911053132,United States,US,US,,,,Hospitalist,,,,,50,,1750740742,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ACCESS MEDICAL ASSOCIATES,1891238820,,,,,Hospitalist,,,559-280-8972,,,,,,,,,,,4046 S DEMAREE ST,,,VISALIA,CA,932779476,United States,US,US,,,,Hospitalist,,,,,50,,1891238820,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ACHIEVE MEDICAL GROUP INC,1639507247,,,,,Hospitalist,,,949-349-9264,,,,,,,,,,,16200 SAND CANYON AVE,,,IRVINE,CA,926183714,United States,US,US,,,,Hospitalist,,,,,50,,1639507247,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,"ACUTE BEHAVIORAL MEDICAL GROUP OF CALIFORNIA, INC.",1124741095,,,,,Family Medicine,,,408-559-2011,,,,,,,,,,,2425 SAMARITAN DR,,,SAN JOSE,CA,951243908,United States,US,US,,,,Family Medicine,,,,,50,,1124741095,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,"ACUTE CARE ASSOCIATES, INC",1841387214,,,,,"Internal Medicine, Pulmonary Disease",,,858-379-1391,,,,,,,,,,,354 SANTA FE DR,,,ENCINITAS,CA,920245142,United States,US,US,,,,"Internal Medicine, Pulmonary Disease",,,,,50,,1841387214,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ACUTE MEDICAL PROVIDERS - INPATIENT INC.,1679080311,,,,,Hospitalist,,,707-963-3611,,,,,,,,,,,10 WOODLAND RD,,,SAINT HELENA,CA,945749554,United States,US,US,,,,Hospitalist,,,,,50,,1679080311,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ADAM RAJOULH M.D.,1487350575,,,,,Hospitalist,,,313-421-0602,,,,,,,,,,,3320 KAWEAH AVE,,,CLOVIS,CA,936193903,United States,US,US,,,,Hospitalist,,,,,50,,1487350575,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ADAM RAJOULH MD CORP,1871294348,,,,,Hospitalist,,,559-324-4000,,,,,,,,,,,2755 HERNDON AVE,,,CLOVIS,CA,93611,United States,US,US,,,,Hospitalist,,,,,50,,1871294348,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,"ADDICTION CENTERS OF EXCELLENCE, INC.",1518644608,,,,,Social Worker,,,877-223-7669,,,,,,,,,,,3812 SUNDANCE LAKE CT,,,MODESTO,CA,953557309,United States,US,US,,,,Social Worker,,,,,50,,1518644608,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ADEEB KIDNEY CARE INC,1679934368,,,,,Internal Medicine,,,626-486-2678,,,,,,,,,,,50 ALESSANDRO PL,,,PASADENA,CA,911053149,United States,US,US,,,,Internal Medicine,,,,,50,,1679934368,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,ADVANCED CARE MULTISPECIALTY MEDICAL GROUP APC,1164041422,,,,,"Internal Medicine, Nephrology",,,805-497-7775,,,,,,,,,,,325 ROLLING OAKS DR STE 130,,,THOUSAND OAKS,CA,913611286,United States,US,US,,,,"Internal Medicine, Nephrology",,,,,50,,1164041422,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,"ACS PRIMARY ADMITTING PROVIDERS, P.A.",1104197193,,,,,Emergency Medicine,,,925-924-1600,,,,,,,,,,,11800 ASTORIA BLVD,,,HOUSTON,TX,770896041,United States,US,US,,,,Emergency Medicine,,,,,50,,1104197193,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,"ACS PRIMARY CARE PHYSICIANS SOUTHWEST, PA",1538101019,,,,,"Pediatrics, Pediatric Emergency Medicine",,,925-924-1600,,,,,,,,,,,1900 HOSPITAL BLVD,,,GAINESVILLE,TX,762402002,United States,US,US,,,,"Pediatrics, Pediatric Emergency Medicine",,,,,50,,1538101019,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,24 ON PHYSICIANS PC,1649393877,,,,,Hospitalist,,,940-764-3983,,,,,,,,,,,1600 11TH ST,,,WICHITA FALLS,TX,763014300,United States,US,US,,,,Hospitalist,,,,,50,,1649393877,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,"4 YOUR HEALTH MA, LLC",1194177246,,,,,Hospitalist,,,210-482-0047,,,,,,,,,,,18866 STONE OAK PKWY,,,SAN ANTONIO,TX,782584180,United States,US,US,,,,Hospitalist,,,,,50,,1194177246,,,,,,,,,,,
https://data.cms.gov/provider-data/dataset/xubh-q36u,AA HEALTH PLLC,1659992568,,,,,Hospitalist,,,713-820-0996,,,,,,,,,,,23119 W INTERSTATE 10 BLDG 904,,,SAN ANTONIO,TX,782571767,United States,US,US,,,,Hospitalist,,,,,50,,1659992568,,,,,,,,,,,
